Designator,Mid X,Mid Y,Rotation,Layer
C1,167.3,-163.75,0,bottom
C2,162.55,-163.75,0,bottom
C3,187.45,-163.25,0,bottom
C4,182.2,-163.25,0,bottom
IC1,110.25,-133.3,180,bottom
R1,106,-140.0875,270,bottom
R10,162.75,-89.9125,270,bottom
R11,88.4375,-142.25,180,bottom
R12,85.6125,-144.75,180,bottom
R13,75.75,-124.5,180,bottom
R14,94.8375,-153.5,0,bottom
R15,98.0875,-149.75,0,bottom
R16,90.0875,-158.5,0,bottom
R17,86.3375,-162,0,bottom
R18,81.9125,-165.75,180,bottom
R19,160.5,-85.9875,270,bottom
R2,123.5875,-79.25,180,bottom
R20,77.5875,-169.5,180,bottom
R21,157.75,-89.9125,270,bottom
R22,75.8375,-129.75,0,bottom
R23,79.3375,-132.5,0,bottom
R24,75.8375,-134.75,0,bottom
R25,79.5875,-137,0,bottom
R26,88.1125,-133,180,bottom
R27,84.8625,-135.25,180,bottom
R28,88.6125,-137.75,180,bottom
R29,84.8625,-140,180,bottom
R3,122.8375,-74.5,180,bottom
R30,159.5,-160.0875,270,bottom
R31,171.5125,-163.75,0,bottom
R32,173,-159.0875,270,bottom
R33,158.6875,-164,0,bottom
R34,193.25,-159,270,bottom
R35,176.75,-159.0875,270,bottom
R36,192.6625,-163.75,0,bottom
R37,177.5875,-163.5,0,bottom
R38,80.15192,-105.993443,180,bottom
R39,80.410749,-100.98942,180,bottom
R4,101.25,-140.1625,270,bottom
R5,126.8375,-152.75,180,bottom
R6,150.25,-86.1625,270,bottom
R7,152.75,-89.9125,270,bottom
R8,79.3375,-127,180,bottom
R9,155.5,-85.9125,270,bottom
U2,145.475,-139.25,180,bottom
